"record_id"	"nord_link"	"incidence_link"	"gene_location"	"gene_name"	"sequence_viewer_link"	"ncbi_gene_link"	"gene_symbol"	"pattern_of_inheritance"
"20862-OMIM:608732"			"4q24"	"solute carrier family 39 member 8"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_022154"	"https://www.ncbi.nlm.nih.gov/gene/64116"	"SLC39A8"	
"28956-OMIM:611777"			"3p22.3"	"glycerol-3-phosphate dehydrogenase 1 like"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_015141"	"https://www.ncbi.nlm.nih.gov/gene/23171"	"GPD1L"	
"3587-OMIM:603467"		"https://medlineplus.gov/genetics/condition/fanconi-anemia/#frequency"	"11p14.3"	"FA complementation group F"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_022725"	"https://www.ncbi.nlm.nih.gov/gene/2188"	"FANCF"	
"3588-OMIM:614082"		"https://medlineplus.gov/genetics/condition/fanconi-anemia/#frequency"	"9p13.3"	"FA complementation group G"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_004629"	"https://www.ncbi.nlm.nih.gov/gene/2189"	"FANCG"	
"4170-ORPHA:86849"			"Xp11.23"	"GATA binding protein 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_002049"	"https://www.ncbi.nlm.nih.gov/gene/2623"	"GATA1"	
"4174-OMIM:217095"	"https://rarediseases.info.nih.gov/diseases/8189/index"	"https://medlineplus.gov/genetics/condition/critical-congenital-heart-disease/#frequency"	"18q11.2"	"GATA binding protein 6"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_005257"	"https://www.ncbi.nlm.nih.gov/gene/2627"	"GATA6"	
"4883-OMIM:610698"		"https://medlineplus.gov/genetics/condition/age-related-macular-degeneration/#frequency"	"1q31.3"	"complement factor H"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000186"	"https://www.ncbi.nlm.nih.gov/gene/3075"	"CFH"	
"4888-ORPHA:329918"			"1q31.3"	"complement factor H related 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_002113"	"https://www.ncbi.nlm.nih.gov/gene/3078"	"CFHR1"	
"5962-OMIM:180300"		"https://medlineplus.gov/genetics/condition/rheumatoid-arthritis/#frequency"	"1q32.1"	"interleukin 10"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000572"	"https://www.ncbi.nlm.nih.gov/gene/3586"	"IL10"	
"5962-OMIM:609423"	"https://rarediseases.info.nih.gov/diseases/10328/index"		"1q32.1"	"interleukin 10"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000572"	"https://www.ncbi.nlm.nih.gov/gene/3586"	"IL10"	
"5965-OMIM:610424"			"21q22.11"	"interleukin 10 receptor subunit beta"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000628"	"https://www.ncbi.nlm.nih.gov/gene/3588"	"IL10RB"	
"7652-OMIM:613065"	"https://rarediseases.info.nih.gov/diseases/522/index"		"8q21.3"	"nibrin"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001024688"	"https://www.ncbi.nlm.nih.gov/gene/4683"	"NBN"	
"7863-OMIM:607878"			"5p12"	"nicotinamide nucleotide transhydrogenase"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_182977"	"https://www.ncbi.nlm.nih.gov/gene/23530"	"NNT"	
"10301-OMIM:612562"		"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"1p36.11"	"ribosomal protein L11"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000975"	"https://www.ncbi.nlm.nih.gov/gene/6135"	"RPL11"	"Autosomal dominant"
"10306-OMIM:615550"		"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"3p24.2"	"ribosomal protein L15"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_002948"	"https://www.ncbi.nlm.nih.gov/gene/6138"	"RPL15"	"Autosomal dominant"
"10310-OMIM:618310"			"19q13.33"	"ribosomal protein L18"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000979"	"https://www.ncbi.nlm.nih.gov/gene/6141"	"RPL18"	"Autosomal dominant"
"10327-OMIM:614900"		"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"17p13.1"	"ribosomal protein L26"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000987"	"https://www.ncbi.nlm.nih.gov/gene/6154"	"RPL26"	"Autosomal dominant"
"10328-OMIM:617408"		"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"17q21.31"	"ribosomal protein L27"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000988"	"https://www.ncbi.nlm.nih.gov/gene/6155"	"RPL27"	"Autosomal dominant"
"10334-ORPHA:124"			"2q11.2"	"ribosomal protein L31"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001098577"	"https://www.ncbi.nlm.nih.gov/gene/6160"	"RPL31"	"Autosomal dominant"
"10344-OMIM:618312"			"9q33.3"	"ribosomal protein L35"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_007209"	"https://www.ncbi.nlm.nih.gov/gene/11224"	"RPL35"	"Autosomal dominant"
"10345-OMIM:612528"		"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"3q29"	"ribosomal protein L35a"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000996"	"https://www.ncbi.nlm.nih.gov/gene/6165"	"RPL35A"	"Autosomal dominant"
"10360-OMIM:612561"		"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"1p22.1"	"ribosomal protein L5"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000969"	"https://www.ncbi.nlm.nih.gov/gene/6125"	"RPL5"	"Autosomal dominant"
"1037-OMIM:612924"		"https://medlineplus.gov/genetics/condition/atypical-hemolytic-uremic-syndrome/#frequency"	"6p21.33"	"complement factor B"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001710"	"https://www.ncbi.nlm.nih.gov/gene/629"	"CFB"	"Autosomal dominant"
"10383-OMIM:613308"		"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"6p21.31"	"ribosomal protein S10"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001014"	"https://www.ncbi.nlm.nih.gov/gene/6204"	"RPS10"	"Autosomal dominant"
"10389-OMIM:618313"			"16p12.3"	"ribosomal protein S15a"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001019"	"https://www.ncbi.nlm.nih.gov/gene/6210"	"RPS15A"	"Autosomal dominant"
"10397-OMIM:612527"		"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"15q25.2"	"ribosomal protein S17"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001021"	"https://www.ncbi.nlm.nih.gov/gene/6218"	"RPS17"	"Autosomal dominant"
"10402-OMIM:105650"	"https://rarediseases.info.nih.gov/diseases/6274/index"	"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"19q13.2"	"ribosomal protein S19"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001022"	"https://www.ncbi.nlm.nih.gov/gene/6223"	"RPS19"	"Autosomal dominant"
"10411-OMIM:610629"	"https://rarediseases.info.nih.gov/diseases/10241/index"	"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"10q22.3"	"ribosomal protein S24"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001026"	"https://www.ncbi.nlm.nih.gov/gene/6229"	"RPS24"	"Autosomal dominant"
"10414-OMIM:613309"		"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"12q13.2"	"ribosomal protein S26"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001029"	"https://www.ncbi.nlm.nih.gov/gene/6231"	"RPS26"	"Autosomal dominant"
"10416-OMIM:617409"		"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"1q21.3"	"ribosomal protein S27"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001030"	"https://www.ncbi.nlm.nih.gov/gene/6232"	"RPS27"	"Autosomal dominant"
"10418-OMIM:606164"		"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"19p13.2"	"ribosomal protein S28"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001031"	"https://www.ncbi.nlm.nih.gov/gene/6234"	"RPS28"	"Autosomal dominant"
"10419-OMIM:615909"		"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"14q21.3"	"ribosomal protein S29"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001030001"	"https://www.ncbi.nlm.nih.gov/gene/6235"	"RPS29"	"Autosomal dominant"
"10440-OMIM:612563"		"https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia/#frequency"	"2p25.3"	"ribosomal protein S7"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001011"	"https://www.ncbi.nlm.nih.gov/gene/6201"	"RPS7"	"Autosomal dominant"
"10585-OMIM:604403"		"https://medlineplus.gov/genetics/condition/genetic-epilepsy-with-febrile-seizures-plus/#frequency"	"2q24.3"	"sodium voltage-gated channel alpha subunit 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_006920"	"https://www.ncbi.nlm.nih.gov/gene/6323"	"SCN1A"	"Autosomal dominant"
"10585-OMIM:607208"	"https://rarediseases.info.nih.gov/diseases/10430/index"		"2q24.3"	"sodium voltage-gated channel alpha subunit 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_006920"	"https://www.ncbi.nlm.nih.gov/gene/6323"	"SCN1A"	"Autosomal dominant"
"10585-OMIM:609634"	"https://rarediseases.info.nih.gov/diseases/10768/index"	"https://medlineplus.gov/genetics/condition/familial-hemiplegic-migraine/#frequency"	"2q24.3"	"sodium voltage-gated channel alpha subunit 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_006920"	"https://www.ncbi.nlm.nih.gov/gene/6323"	"SCN1A"	"Autosomal dominant"
"10588-OMIM:607745"	"https://rarediseases.info.nih.gov/diseases/1518/index"		"2q24.3"	"sodium voltage-gated channel alpha subunit 2"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_021007"	"https://www.ncbi.nlm.nih.gov/gene/6326"	"SCN2A"	"Autosomal dominant"
"10588-OMIM:613721"			"2q24.3"	"sodium voltage-gated channel alpha subunit 2"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_021007"	"https://www.ncbi.nlm.nih.gov/gene/6326"	"SCN2A"	"Autosomal dominant"
"10590-OMIM:617935"			"2q24.3"	"sodium voltage-gated channel alpha subunit 3"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_006922"	"https://www.ncbi.nlm.nih.gov/gene/6328"	"SCN3A"	"Autosomal dominant"
"10591-OMIM:168300"	"https://rarediseases.info.nih.gov/diseases/7325/index"	"https://medlineplus.gov/genetics/condition/paramyotonia-congenita/#frequency"	"17q23.3"	"sodium voltage-gated channel alpha subunit 4"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000334"	"https://www.ncbi.nlm.nih.gov/gene/6329"	"SCN4A"	"Autosomal dominant"
"10591-OMIM:170500"	"https://rarediseases.info.nih.gov/diseases/195/index"	"https://medlineplus.gov/genetics/condition/hyperkalemic-periodic-paralysis/#frequency"	"17q23.3"	"sodium voltage-gated channel alpha subunit 4"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000334"	"https://www.ncbi.nlm.nih.gov/gene/6329"	"SCN4A"	"Autosomal dominant"
"10591-OMIM:608390"	"https://rarediseases.info.nih.gov/diseases/4459/index"	"https://medlineplus.gov/genetics/condition/potassium-aggravated-myotonia/#frequency"	"17q23.3"	"sodium voltage-gated channel alpha subunit 4"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000334"	"https://www.ncbi.nlm.nih.gov/gene/6329"	"SCN4A"	"Autosomal dominant"
"10591-OMIM:613345"		"https://medlineplus.gov/genetics/condition/hypokalemic-periodic-paralysis/#frequency"	"17q23.3"	"sodium voltage-gated channel alpha subunit 4"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000334"	"https://www.ncbi.nlm.nih.gov/gene/6329"	"SCN4A"	"Autosomal dominant"
"10593-OMIM:113900"	"https://rarediseases.info.nih.gov/diseases/1093/index"	"https://medlineplus.gov/genetics/condition/progressive-familial-heart-block/#frequency"	"3p22.2"	"sodium voltage-gated channel alpha subunit 5"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_198056"	"https://www.ncbi.nlm.nih.gov/gene/6331"	"SCN5A"	"Autosomal dominant"
"10593-OMIM:601154"		"https://medlineplus.gov/genetics/condition/familial-dilated-cardiomyopathy/#frequency"	"3p22.2"	"sodium voltage-gated channel alpha subunit 5"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_198056"	"https://www.ncbi.nlm.nih.gov/gene/6331"	"SCN5A"	"Autosomal dominant"
"10593-OMIM:603830"	"https://rarediseases.info.nih.gov/diseases/3286/index"	"https://medlineplus.gov/genetics/condition/romano-ward-syndrome/#frequency"	"3p22.2"	"sodium voltage-gated channel alpha subunit 5"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_198056"	"https://www.ncbi.nlm.nih.gov/gene/6331"	"SCN5A"	"Autosomal dominant"
"10593-OMIM:614022"		"https://medlineplus.gov/genetics/condition/familial-atrial-fibrillation/#frequency"	"3p22.2"	"sodium voltage-gated channel alpha subunit 5"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_198056"	"https://www.ncbi.nlm.nih.gov/gene/6331"	"SCN5A"	"Autosomal dominant"
"10596-OMIM:614558"	"https://rarediseases.info.nih.gov/diseases/13085/index"	"https://medlineplus.gov/genetics/condition/scn8a-related-epilepsy-with-encephalopathy/#frequency"	"12q13.13"	"sodium voltage-gated channel alpha subunit 8"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_014191"	"https://www.ncbi.nlm.nih.gov/gene/6334"	"SCN8A"	"Autosomal dominant"
"10596-OMIM:617080"			"12q13.13"	"sodium voltage-gated channel alpha subunit 8"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_014191"	"https://www.ncbi.nlm.nih.gov/gene/6334"	"SCN8A"	"Autosomal dominant"
"10599-OMIM:613021"			"12p13"	"sodium channel epithelial 1 subunit alpha"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001038"	"https://www.ncbi.nlm.nih.gov/gene/6337"	"SCNN1A"	"Autosomal dominant"
"10599-OMIM:618126"			"12p13"	"sodium channel epithelial 1 subunit alpha"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001038"	"https://www.ncbi.nlm.nih.gov/gene/6337"	"SCNN1A"	"Autosomal dominant"
"10600-OMIM:177200"	"https://rarediseases.info.nih.gov/diseases/7381/index"	"https://medlineplus.gov/genetics/condition/liddle-syndrome/#frequency"	"16p12.2-p12.1"	"sodium channel epithelial 1 subunit beta"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000336"	"https://www.ncbi.nlm.nih.gov/gene/6338"	"SCNN1B"	"Autosomal dominant"
"10600-OMIM:211400"			"16p12.2-p12.1"	"sodium channel epithelial 1 subunit beta"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000336"	"https://www.ncbi.nlm.nih.gov/gene/6338"	"SCNN1B"	"Autosomal dominant"
"10602-OMIM:613071"			"16p12.2"	"sodium channel epithelial 1 subunit gamma"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001039"	"https://www.ncbi.nlm.nih.gov/gene/6340"	"SCNN1G"	"Autosomal dominant"
"10602-OMIM:618114"			"16p12.2"	"sodium channel epithelial 1 subunit gamma"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001039"	"https://www.ncbi.nlm.nih.gov/gene/6340"	"SCNN1G"	"Autosomal dominant"
"10922-OMIM:610021"	"https://rarediseases.info.nih.gov/diseases/9932/index"	"https://medlineplus.gov/genetics/condition/congenital-hyperinsulinism/#frequency"	"1p13.2"	"solute carrier family 16 member 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_003051"	"https://www.ncbi.nlm.nih.gov/gene/6566"	"SLC16A1"	"Autosomal dominant"
"11005-OMIM:614847"			"1p34.2"	"solute carrier family 2 member 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_006516"	"https://www.ncbi.nlm.nih.gov/gene/6513"	"SLC2A1"	"Autosomal dominant"
"1101-OMIM:612555"	"https://rarediseases.info.nih.gov/diseases/12352/index"	"https://medlineplus.gov/genetics/condition/breast-cancer/#frequency"	"13q13.1"	"BRCA2 DNA repair associated"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000059"	"https://www.ncbi.nlm.nih.gov/gene/675"	"BRCA2"	"Autosomal dominant"
"1101-OMIM:612555"	"https://rarediseases.info.nih.gov/diseases/12352/index"	"https://medlineplus.gov/genetics/condition/ovarian-cancer/#frequency"	"13q13.1"	"BRCA2 DNA repair associated"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000059"	"https://www.ncbi.nlm.nih.gov/gene/675"	"BRCA2"	"Autosomal dominant"
"11132-OMIM:616330"			"20p12.2"	"synaptosome associated protein 25"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_130811"	"https://www.ncbi.nlm.nih.gov/gene/6616"	"SNAP25"	"Autosomal dominant"
"11301-OMIM:618752"			"14q13.2"	"signal recognition particle 54"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_003136"	"https://www.ncbi.nlm.nih.gov/gene/6729"	"SRP54"	"Autosomal dominant"
"11621-OMIM:600496"	"https://rarediseases.info.nih.gov/diseases/3697/index"	"https://medlineplus.gov/genetics/condition/maturity-onset-diabetes-of-the-young/#frequency"	"12q24.31"	"HNF1 homeobox A"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000545"	"https://www.ncbi.nlm.nih.gov/gene/6927"	"HNF1A"	"Autosomal dominant"
"11621-ORPHA:324575"			"12q24.31"	"HNF1 homeobox A"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000545"	"https://www.ncbi.nlm.nih.gov/gene/6927"	"HNF1A"	"Autosomal dominant"
"11784-OMIM:612926"		"https://medlineplus.gov/genetics/condition/atypical-hemolytic-uremic-syndrome/#frequency"	"20p11.21"	"thrombomodulin"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000361"	"https://www.ncbi.nlm.nih.gov/gene/7056"	"THBD"	"Autosomal dominant"
"11784-OMIM:614486"			"20p11.21"	"thrombomodulin"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000361"	"https://www.ncbi.nlm.nih.gov/gene/7056"	"THBD"	"Autosomal dominant"
"11908-OMIM:174810"	"https://rarediseases.info.nih.gov/diseases/9168/index"		"18q21.33"	"TNF receptor superfamily member 11a"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001270949"	"https://www.ncbi.nlm.nih.gov/gene/8792"	"TNFRSF11A"	"Autosomal dominant"
"11908-OMIM:602080"	"https://rarediseases.info.nih.gov/diseases/8615/index"	"https://medlineplus.gov/genetics/condition/paget-disease-of-bone/#frequency"	"18q21.33"	"TNF receptor superfamily member 11a"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001270949"	"https://www.ncbi.nlm.nih.gov/gene/8792"	"TNFRSF11A"	"Autosomal dominant"
"12362-OMIM:191100"	"https://rarediseases.info.nih.gov/diseases/7830/index"	"https://medlineplus.gov/genetics/condition/tuberous-sclerosis-complex/#frequency"	"9q34"	"TSC complex subunit 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000368"	"https://www.ncbi.nlm.nih.gov/gene/7248"	"TSC1"	"Autosomal dominant"
"12363-OMIM:613254"			"16p13.3"	"TSC complex subunit 2"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000548"	"https://www.ncbi.nlm.nih.gov/gene/7249"	"TSC2"	"Autosomal dominant"
"12518-ORPHA:276556"			"11q13.4"	"uncoupling protein 2"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_003355"	"https://www.ncbi.nlm.nih.gov/gene/7351"	"UCP2"	"Autosomal dominant"
"1318-OMIM:612925"		"https://medlineplus.gov/genetics/condition/atypical-hemolytic-uremic-syndrome/#frequency"	"19p13.3"	"complement C3"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000064"	"https://www.ncbi.nlm.nih.gov/gene/718"	"C3"	"Autosomal dominant"
"1390-OMIM:601005"	"https://rarediseases.info.nih.gov/diseases/9294/index"	"https://medlineplus.gov/genetics/condition/timothy-syndrome/#frequency"	"12p13.33"	"calcium voltage-gated channel subunit alpha1 C"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000719"	"https://www.ncbi.nlm.nih.gov/gene/775"	"CACNA1C"	"Autosomal dominant"
"14025-OMIM:158580"			"2q12.3"	"solute carrier family 5 member 7"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_001305005"	"https://www.ncbi.nlm.nih.gov/gene/60482"	"SLC5A7"	"Autosomal dominant"
"1514-OMIM:601198"		"https://medlineplus.gov/genetics/condition/autosomal-dominant-hypocalcemia/#frequency"	"3q13.33-q21.1"	"calcium sensing receptor"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000388"	"https://www.ncbi.nlm.nih.gov/gene/846"	"CASR"	"Autosomal dominant"
"175-OMIM:600376"	"https://rarediseases.info.nih.gov/diseases/9901/index"	"https://medlineplus.gov/genetics/condition/hereditary-hemorrhagic-telangiectasia/#frequency"	"12q13.13"	"activin A receptor like type 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000020"	"https://www.ncbi.nlm.nih.gov/gene/94"	"ACVRL1"	"Autosomal dominant"
"18865-OMIM:614959"	"https://rarediseases.info.nih.gov/diseases/12919/index"	"https://medlineplus.gov/genetics/condition/malignant-migrating-partial-seizures-of-infancy/#frequency"	"9q34.3"	"potassium sodium-activated channel subfamily T member 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_020822"	"https://www.ncbi.nlm.nih.gov/gene/57582"	"KCNT1"	"Autosomal dominant"
"18865-OMIM:615005"			"9q34.3"	"potassium sodium-activated channel subfamily T member 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_020822"	"https://www.ncbi.nlm.nih.gov/gene/57582"	"KCNT1"	"Autosomal dominant"
"19129-OMIM:610992"	"https://rarediseases.info.nih.gov/diseases/13273/index"		"9q21.2"	"phosphoserine aminotransferase 1"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_021154"	"https://www.ncbi.nlm.nih.gov/gene/29968"	"PSAT1"	"Autosomal dominant"
"1955-OMIM:601462"	"https://rarediseases.info.nih.gov/diseases/9689/index"	"https://medlineplus.gov/genetics/condition/congenital-myasthenic-syndrome/#frequency"	"2q31.1"	"cholinergic receptor nicotinic alpha 1 subunit"	"https://www.ncbi.nlm.nih.gov/projects/sviewer/?id=NM_000079"	"https://www.ncbi.nlm.nih.gov/gene/1134"	"CHRNA1"	"Autosomal dominant"
